x,y
0.000000000000000000e+00,8.545871881132603987e-01
1.000000000000000000e+00,8.545871881132603987e-01
2.000000000000000000e+00,8.551128399215026654e-01
3.000000000000000000e+00,8.553931875525652151e-01
4.000000000000000000e+00,8.556209700028034604e-01
5.000000000000000000e+00,8.559013176338660100e-01
6.000000000000000000e+00,8.571628819736473170e-01
7.000000000000000000e+00,8.593530978413231880e-01
8.000000000000000000e+00,8.614206616204093114e-01
9.000000000000000000e+00,8.636108774880851824e-01
1.000000000000000000e+01,8.654857022708157821e-01
1.100000000000000000e+01,8.668523969722455869e-01
1.200000000000000000e+01,8.684293523969722761e-01
1.300000000000000000e+01,8.697960470984019699e-01
1.400000000000000000e+01,8.708473507148865034e-01
1.500000000000000000e+01,8.713905242500701309e-01
1.600000000000000000e+01,8.720213064199607844e-01
1.700000000000000000e+01,8.725644799551444120e-01
1.800000000000000000e+01,8.717059153350154022e-01
1.900000000000000000e+01,8.687622652088590192e-01
2.000000000000000000e+01,8.657134847210541384e-01
2.100000000000000000e+01,8.627698345948976444e-01
2.200000000000000000e+01,8.594932716568545183e-01
2.300000000000000000e+01,8.558487524530418167e-01
2.400000000000000000e+01,8.521516680684048106e-01
2.500000000000000000e+01,8.485071488645921089e-01
2.600000000000000000e+01,8.449852817493692658e-01
2.700000000000000000e+01,8.412356321839080664e-01
2.800000000000000000e+01,8.377488085225679448e-01
2.900000000000000000e+01,8.339991589571068564e-01
3.000000000000000000e+01,8.319666386319035656e-01
3.100000000000000000e+01,8.307751611998878127e-01
3.200000000000000000e+01,8.291982057751612345e-01
3.300000000000000000e+01,8.280067283431454817e-01
3.400000000000000000e+01,8.264472946453602642e-01
3.500000000000000000e+01,8.246776002242780512e-01
3.600000000000000000e+01,8.233109055228483575e-01
3.700000000000000000e+01,8.215412111017661445e-01
3.800000000000000000e+01,8.213835155592935644e-01
3.900000000000000000e+01,8.229079058031959493e-01
4.000000000000000000e+01,8.243972525932156126e-01
4.100000000000000000e+01,8.259216428371179974e-01
4.200000000000000000e+01,8.259917297448836626e-01
4.300000000000000000e+01,8.246951219512195230e-01
4.400000000000000000e+01,8.229604709840201426e-01
4.500000000000000000e+01,8.216638631903560031e-01
4.600000000000000000e+01,8.250455564900476269e-01
4.700000000000000000e+01,8.331055508830950140e-01
4.800000000000000000e+01,8.409728062797869885e-01
4.900000000000000000e+01,8.490328006728342647e-01
5.000000000000000000e+01,8.566021867115223287e-01
5.100000000000000000e+01,8.640138772077375906e-01
5.200000000000000000e+01,8.710926548920661094e-01
5.300000000000000000e+01,8.785043453882814823e-01
5.400000000000000000e+01,8.863716007849733458e-01
5.500000000000000000e+01,8.949397252593215280e-01
5.600000000000000000e+01,9.034728062797869885e-01
5.700000000000000000e+01,9.120409307541351707e-01
5.800000000000000000e+01,9.197504906083543430e-01
5.900000000000000000e+01,9.267942248388001403e-01
6.000000000000000000e+01,9.337153069806559680e-01
6.100000000000000000e+01,9.407590412111017653e-01
6.200000000000000000e+01,9.473647322680123217e-01
6.300000000000000000e+01,9.533746846089150573e-01
6.400000000000000000e+01,9.590517241379310498e-01
6.500000000000000000e+01,9.650616764788337854e-01
6.600000000000000000e+01,9.700553686571348200e-01
6.700000000000000000e+01,9.736298009531819675e-01
6.800000000000000000e+01,9.776597981497056056e-01
6.900000000000000000e+01,9.812342304457527531e-01
7.000000000000000000e+01,9.850539669189795067e-01
7.100000000000000000e+01,9.888737033922063713e-01
7.200000000000000000e+01,9.926583964115502923e-01
7.300000000000000000e+01,9.964781328847771569e-01
7.400000000000000000e+01,9.985982618446873627e-01
7.500000000000000000e+01,9.989311746565741057e-01
7.600000000000000000e+01,9.996670871881132570e-01
7.700000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,9.982127838519764262e-01
7.900000000000000000e+01,9.942178301093356207e-01
8.000000000000000000e+01,9.903455284552845628e-01
8.100000000000000000e+01,9.863505747126436463e-01
8.200000000000000000e+01,9.832317073170732113e-01
8.300000000000000000e+01,9.809714045416316752e-01
8.400000000000000000e+01,9.791491449397252689e-01
8.500000000000000000e+01,9.768888421642837327e-01
8.600000000000000000e+01,9.762931034482759118e-01
8.700000000000000000e+01,9.770465377067564239e-01
8.800000000000000000e+01,9.773969722455845277e-01
8.900000000000000000e+01,9.781504065040650397e-01
9.000000000000000000e+01,9.774845808802915537e-01
9.100000000000000000e+01,9.758375385477993103e-01
9.200000000000000000e+01,9.741554527614241232e-01
9.300000000000000000e+01,9.725084104289318798e-01
9.400000000000000000e+01,9.702130641996075111e-01
9.500000000000000000e+01,9.678651527894589490e-01
9.600000000000000000e+01,9.651142416596579787e-01
9.700000000000000000e+01,9.627663302495094166e-01
9.800000000000000000e+01,9.617500700869077157e-01
9.900000000000000000e+01,9.621005046257359306e-01
1.000000000000000000e+02,9.624684608915055062e-01
1.010000000000000000e+02,9.628188954303336100e-01
1.020000000000000000e+02,9.614346790019624445e-01
1.030000000000000000e+02,9.578252032520325754e-01
1.040000000000000000e+02,9.549165965797589140e-01
1.050000000000000000e+02,9.513071208298289339e-01
1.060000000000000000e+02,9.490292963274460369e-01
1.070000000000000000e+02,9.471544715447154372e-01
1.080000000000000000e+02,9.453672553966918635e-01
1.090000000000000000e+02,9.434924306139612638e-01
1.100000000000000000e+02,9.422834314550041501e-01
1.110000000000000000e+02,9.417227361928791618e-01
1.120000000000000000e+02,9.408116063919259586e-01
1.130000000000000000e+02,9.402509111298009703e-01
1.140000000000000000e+02,9.394449116904962649e-01
1.150000000000000000e+02,9.380606952621249883e-01
1.160000000000000000e+02,9.366239136529296294e-01
1.170000000000000000e+02,9.352396972245584639e-01
1.180000000000000000e+02,9.345738716007849778e-01
1.190000000000000000e+02,9.345388281469021452e-01
1.200000000000000000e+02,9.346965236893748363e-01
1.210000000000000000e+02,9.346614802354920037e-01
1.220000000000000000e+02,9.329618727221754559e-01
1.230000000000000000e+02,9.299656574151948796e-01
1.240000000000000000e+02,9.269519203812728314e-01
1.250000000000000000e+02,9.239557050742921440e-01
1.260000000000000000e+02,9.226240538267451718e-01
1.270000000000000000e+02,9.238505747126436463e-01
1.280000000000000000e+02,9.246916176058311843e-01
1.290000000000000000e+02,9.259181384917297697e-01
1.300000000000000000e+02,9.222560975609755962e-01
1.310000000000000000e+02,9.143537987104009002e-01
1.320000000000000000e+02,9.064865433137090367e-01
1.330000000000000000e+02,8.985842444631343406e-01
1.340000000000000000e+02,8.925042052144659399e-01
1.350000000000000000e+02,8.881938603868797522e-01
1.360000000000000000e+02,8.838484721054107318e-01
1.370000000000000000e+02,8.795381272778245441e-01
1.380000000000000000e+02,8.749824782730586392e-01
1.390000000000000000e+02,8.699362209139333002e-01
1.400000000000000000e+02,8.648549201009251286e-01
1.410000000000000000e+02,8.598086627417997896e-01
1.420000000000000000e+02,8.545521446593776771e-01
1.430000000000000000e+02,8.494007569386038403e-01
1.440000000000000000e+02,8.439690215867675649e-01
1.450000000000000000e+02,8.388176338659938391e-01
1.460000000000000000e+02,8.344021586767591536e-01
1.470000000000000000e+02,8.311781609195402210e-01
1.480000000000000000e+02,8.276387720773759060e-01
1.490000000000000000e+02,8.244147743201569734e-01
1.500000000000000000e+02,8.224348191757779869e-01
1.510000000000000000e+02,8.219792542753013853e-01
1.520000000000000000e+02,8.212959069245865384e-01
1.530000000000000000e+02,8.208403420241099369e-01
1.540000000000000000e+02,8.208052985702271043e-01
1.550000000000000000e+02,8.210681244743481821e-01
1.560000000000000000e+02,8.215061676478834229e-01
1.570000000000000000e+02,8.217689935520045008e-01
1.580000000000000000e+02,8.237664704233249591e-01
1.590000000000000000e+02,8.269554247266610592e-01
1.600000000000000000e+02,8.299165965797589140e-01
1.610000000000000000e+02,8.331055508830950140e-01
1.620000000000000000e+02,8.383795906924585983e-01
1.630000000000000000e+02,8.455284552845528934e-01
1.640000000000000000e+02,8.526773198766470774e-01
1.650000000000000000e+02,8.598261844687412614e-01
1.660000000000000000e+02,8.637160078497336801e-01
1.670000000000000000e+02,8.645044855620970248e-01
1.680000000000000000e+02,8.652403980936360650e-01
1.690000000000000000e+02,8.660288758059994096e-01
1.700000000000000000e+02,8.677284833193159574e-01
1.710000000000000000e+02,8.700939164564059913e-01
1.720000000000000000e+02,8.727396972245584639e-01
1.730000000000000000e+02,8.751051303616484978e-01
1.740000000000000000e+02,8.750350434538828326e-01
1.750000000000000000e+02,8.720037846930193126e-01
1.760000000000000000e+02,8.692703952901598141e-01
1.770000000000000000e+02,8.662391365292962941e-01
1.780000000000000000e+02,8.642241379310344751e-01
1.790000000000000000e+02,8.642241379310344751e-01
