x,y
0.000000000000000000e+00,7.917070373519466964e-01
1.000000000000000000e+00,7.917070373519466964e-01
2.000000000000000000e+00,7.921222786862555099e-01
3.000000000000000000e+00,7.921025052893836405e-01
4.000000000000000000e+00,7.922013722737428765e-01
5.000000000000000000e+00,7.921815988768710071e-01
6.000000000000000000e+00,7.930318549423605035e-01
7.000000000000000000e+00,7.944357661202617882e-01
8.000000000000000000e+00,7.960967314574970422e-01
9.000000000000000000e+00,7.975006426353983269e-01
1.000000000000000000e+01,7.992604749569928169e-01
1.100000000000000000e+01,8.016135091847428340e-01
1.200000000000000000e+01,8.042829177624424286e-01
1.300000000000000000e+01,8.066359519901924457e-01
1.400000000000000000e+01,8.088110256460957492e-01
1.500000000000000000e+01,8.112036066675893942e-01
1.600000000000000000e+01,8.138532418484171194e-01
1.700000000000000000e+01,8.162458228699108753e-01
1.800000000000000000e+01,8.183615763351985706e-01
1.900000000000000000e+01,8.194886599568940166e-01
2.000000000000000000e+01,8.203586894192553824e-01
2.100000000000000000e+01,8.214857730409507175e-01
2.200000000000000000e+01,8.220196547564906364e-01
2.300000000000000000e+01,8.209914381191545374e-01
2.400000000000000000e+01,8.201214086567931716e-01
2.500000000000000000e+01,8.190931920194570726e-01
2.600000000000000000e+01,8.173333596978624715e-01
2.700000000000000000e+01,8.140509758171355914e-01
2.800000000000000000e+01,8.107092717457932141e-01
2.900000000000000000e+01,8.074268878650663339e-01
3.000000000000000000e+01,8.033140213157218268e-01
3.100000000000000000e+01,7.982915785102723261e-01
3.200000000000000000e+01,7.934470962766693169e-01
3.300000000000000000e+01,7.884246534712198162e-01
3.400000000000000000e+01,7.831451565064362352e-01
3.500000000000000000e+01,7.775690585885749462e-01
3.600000000000000000e+01,7.713799853676862606e-01
3.700000000000000000e+01,7.658038874498249715e-01
3.800000000000000000e+01,7.606628042631443654e-01
3.900000000000000000e+01,7.552053467265141817e-01
4.000000000000000000e+01,7.499258497617306007e-01
4.100000000000000000e+01,7.444683922251003061e-01
4.200000000000000000e+01,7.408696339944238485e-01
4.300000000000000000e+01,7.381211318292369983e-01
4.400000000000000000e+01,7.353726296640500371e-01
4.500000000000000000e+01,7.326241274988630758e-01
4.600000000000000000e+01,7.320111521958356793e-01
4.700000000000000000e+01,7.328614082613251757e-01
4.800000000000000000e+01,7.341071322642517272e-01
4.900000000000000000e+01,7.349573883297411125e-01
5.000000000000000000e+01,7.385363731635458118e-01
5.100000000000000000e+01,7.444090720344848089e-01
5.200000000000000000e+01,7.499851699523460979e-01
5.300000000000000000e+01,7.558578688232852061e-01
5.400000000000000000e+01,7.634706266189468238e-01
5.500000000000000000e+01,7.735748324204615445e-01
5.600000000000000000e+01,7.840151859687976010e-01
5.700000000000000000e+01,7.941193917703122107e-01
5.800000000000000000e+01,8.049552132560852113e-01
5.900000000000000000e+01,8.179858817946334959e-01
6.000000000000000000e+01,8.309572301425661722e-01
6.100000000000000000e+01,8.439878986811144568e-01
6.200000000000000000e+01,8.567812864572005305e-01
6.300000000000000000e+01,8.701678761394420203e-01
6.400000000000000000e+01,8.835149190279397713e-01
6.500000000000000000e+01,8.969015087101813721e-01
6.600000000000000000e+01,9.090226009926245521e-01
6.700000000000000000e+01,9.204516243845529688e-01
6.800000000000000000e+01,9.320190615545844715e-01
6.900000000000000000e+01,9.434480849465129992e-01
7.000000000000000000e+01,9.528602218575129568e-01
7.100000000000000000e+01,9.607300338125086547e-01
7.200000000000000000e+01,9.688371265299665636e-01
7.300000000000000000e+01,9.767069384849623725e-01
7.400000000000000000e+01,9.824609969746702642e-01
7.500000000000000000e+01,9.864947699365274048e-01
7.600000000000000000e+01,9.902714887390504650e-01
7.700000000000000000e+01,9.943052617009076055e-01
7.800000000000000000e+01,9.967373895161449893e-01
7.900000000000000000e+01,9.980622071065587964e-01
8.000000000000000000e+01,9.986158622189705847e-01
8.100000000000000000e+01,9.999406798093845028e-01
8.200000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,9.989322365689201622e-01
8.400000000000000000e+01,9.980622071065587964e-01
8.500000000000000000e+01,9.969944436754789585e-01
