x,y
0.000000000000000000e+00,7.835852823730746763e-01
1.000000000000000000e+00,7.835852823730746763e-01
2.000000000000000000e+00,7.819452367370222090e-01
3.000000000000000000e+00,7.782373074729035389e-01
4.000000000000000000e+00,7.741728465487734967e-01
5.000000000000000000e+00,7.704649172846548266e-01
6.000000000000000000e+00,7.672561323445521442e-01
7.000000000000000000e+00,7.652595550484883047e-01
8.000000000000000000e+00,7.638334284084427050e-01
9.000000000000000000e+00,7.618368511123787545e-01
1.000000000000000000e+01,7.592698231602966752e-01
1.100000000000000000e+01,7.577723901882487123e-01
1.200000000000000000e+01,7.554905875641757529e-01
1.300000000000000000e+01,7.539931545921277900e-01
1.400000000000000000e+01,7.527096406160866948e-01
1.500000000000000000e+01,7.522818026240730704e-01
1.600000000000000000e+01,7.513548203080433474e-01
1.700000000000000000e+01,7.509269823160296120e-01
1.800000000000000000e+01,7.528522532800913103e-01
1.900000000000000000e+01,7.572019395322304725e-01
2.000000000000000000e+01,7.611237877923560102e-01
2.100000000000000000e+01,7.654734740444951724e-01
2.200000000000000000e+01,7.664004563605247844e-01
2.300000000000000000e+01,7.649743297204791848e-01
2.400000000000000000e+01,7.631203650884198497e-01
2.500000000000000000e+01,7.616942384483742501e-01
2.600000000000000000e+01,7.586280661722760721e-01
2.700000000000000000e+01,7.553479749001711374e-01
2.800000000000000000e+01,7.517113519680547196e-01
2.900000000000000000e+01,7.484312606959497849e-01
3.000000000000000000e+01,7.463633770678835821e-01
3.100000000000000000e+01,7.446520250998288626e-01
3.200000000000000000e+01,7.437963491158015028e-01
3.300000000000000000e+01,7.420849971477466722e-01
3.400000000000000000e+01,7.390188248716486052e-01
3.500000000000000000e+01,7.342413006274957077e-01
3.600000000000000000e+01,7.291785510553336902e-01
3.700000000000000000e+01,7.244010268111807926e-01
3.800000000000000000e+01,7.186965202509982831e-01
3.900000000000000000e+01,7.127067883628066536e-01
4.000000000000000000e+01,7.066457501426126608e-01
4.100000000000000000e+01,7.006560182544210313e-01
4.200000000000000000e+01,7.042926411865373382e-01
4.300000000000000000e+01,7.177695379349686711e-01
4.400000000000000000e+01,7.323160296634341204e-01
4.500000000000000000e+01,7.457929264118653423e-01
4.600000000000000000e+01,7.741728465487734967e-01
4.700000000000000000e+01,8.159583571021106208e-01
4.800000000000000000e+01,8.578151739874501081e-01
4.900000000000000000e+01,8.996006845407872321e-01
5.000000000000000000e+01,9.309041642897889490e-01
5.100000000000000000e+01,9.513690815744437757e-01
5.200000000000000000e+01,9.717626925270964611e-01
5.300000000000000000e+01,9.922276098117512877e-01
5.400000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,9.951511694238448502e-01
5.600000000000000000e+01,9.903023388476897004e-01
5.700000000000000000e+01,9.854535082715345506e-01
5.800000000000000000e+01,9.758984597832287555e-01
5.900000000000000000e+01,9.608528237307473185e-01
6.000000000000000000e+01,9.460924130062750015e-01
6.100000000000000000e+01,9.310467769537934535e-01
6.200000000000000000e+01,9.120079863091842265e-01
6.300000000000000000e+01,8.881916714204221019e-01
6.400000000000000000e+01,8.645179691956645929e-01
6.500000000000000000e+01,8.407016543069024683e-01
6.600000000000000000e+01,8.112521391899600864e-01
6.700000000000000000e+01,7.751711351968054720e-01
6.800000000000000000e+01,7.396605818596690973e-01
6.900000000000000000e+01,7.035795778665145939e-01
7.000000000000000000e+01,6.790501996577296140e-01
7.100000000000000000e+01,6.656446092413006443e-01
7.200000000000000000e+01,6.522390188248716747e-01
7.300000000000000000e+01,6.388334284084427050e-01
7.400000000000000000e+01,6.421135196805476397e-01
7.500000000000000000e+01,6.615801483171706021e-01
7.600000000000000000e+01,6.816885339418140566e-01
7.700000000000000000e+01,7.011551625784370190e-01
7.800000000000000000e+01,7.129920136908157735e-01
7.900000000000000000e+01,7.172703936109526834e-01
8.000000000000000000e+01,7.213348545350827257e-01
8.100000000000000000e+01,7.256132344552196356e-01
8.200000000000000000e+01,7.258984597832287555e-01
8.300000000000000000e+01,7.229035938391329408e-01
8.400000000000000000e+01,7.194808899030233906e-01
8.500000000000000000e+01,7.164860239589275759e-01
8.600000000000000000e+01,7.196948088990302583e-01
8.700000000000000000e+01,7.293924700513405579e-01
8.800000000000000000e+01,7.386622932116372331e-01
8.900000000000000000e+01,7.483599543639475327e-01
9.000000000000000000e+01,7.520678836280662027e-01
9.100000000000000000e+01,7.516400456360524673e-01
9.200000000000000000e+01,7.502139189960068677e-01
9.300000000000000000e+01,7.497860810039931323e-01
9.400000000000000000e+01,7.519252709640615873e-01
9.500000000000000000e+01,7.579863091842555800e-01
9.600000000000000000e+01,7.641899600684540772e-01
9.700000000000000000e+01,7.702509982886480699e-01
9.800000000000000000e+01,7.728180262407301493e-01
9.900000000000000000e+01,7.728180262407301493e-01
